unknown	document	note	3630 nodes, 101 of them focusable, at 1 device pixels per CSS pixel
unknown	rect	node:modal	571.0 2182.0 280.0 16.0
unknown	rect	node:Rename…	571.0 2202.0 280.0 36.0
unknown	rect	node:Rename…	571.0 2202.0 101.0 36.0
unknown	rect	node:Rename…	588.0 2210.0 67.0 20.0
unknown	rect	node:destructiveDelete	571.0 2250.0 280.0 57.0
unknown	rect	node:destructive	571.0 2250.0 280.0 17.0
unknown	rect	node:Delete	571.0 2271.0 280.0 36.0
unknown	rect	node:Delete	571.0 2271.0 77.0 36.0
unknown	rect	node:Delete	588.0 2279.0 43.2 20.0
unknown	rect	node:Sheet and drawerin from an edge, and up 	884.0 2088.0 270.0 219.0
unknown	rect	node:Sheet and drawer	901.0 2105.0 236.0 24.0
